SK_ID_CURR,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_INCOME_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,OWN_CAR_AGE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3
100016,0,F,N,Y,0,170800.0,777000.0,55313.0,Secondary / secondary special,Single / not married,Pensioner,-22465,365243,,,0.5264909741374464,0.6752468404402414
100017,0,F,Y,Y,1,73700.0,438700.0,15077.6,Higher education,Married,Working,-19183,-289,13.0,,0.84940903122164,0.7665066953855756
100018,0,F,Y,Y,1,91000.0,255700.0,9342.6,Secondary / secondary special,Married,State servant,-19794,-2559,17.6,0.6095734321983066,0.3712104363537053,0.6233322146238528
100019,0,M,Y,Y,0,141300.0,822700.0,65522.9,Higher education,Married,Pensioner,-8508,365243,3.1,,0.6454649429603226,0.6889301948037856
100020,0,F,N,Y,0,173000.0,306700.0,19866.0,Secondary / secondary special,Married,Pensioner,-17413,365243,,,0.6642221230234127,0.7327553878011632
100021,0,M,N,Y,0,144200.0,688900.0,25139.8,Secondary / secondary special,Married,Commercial associate,-11502,-3078,,,0.5890510312490627,0.47066560787871375
100022,0,F,Y,N,0,186400.0,670600.0,39401.2,Secondary / secondary special,Married,Working,-23924,-1404,9.9,0.8297929994154748,0.538222733203445,
100023,0,M,N,N,0,143600.0,235400.0,12497.8,Secondary / secondary special,Single / not married,Working,-17516,-1527,,,0.5432177461827457,0.7866189049648307
100024,0,M,N,N,0,132600.0,624300.0,45735.0,Secondary / secondary special,Married,Working,-18494,-1247,,0.5306631059598422,0.714163372654287,
100025,0,M,Y,Y,0,433700.0,997400.0,47634.7,Secondary / secondary special,Married,Commercial associate,-11935,-1341,9.4,,0.6520328257717867,0.6544212399925808
100026,0,F,N,N,0,130800.0,521000.0,40376.0,Secondary / secondary special,Married,Working,-15057,-2001,,0.48688583065626867,0.7545065429919764,0.48458834182694105
100027,0,F,Y,Y,2,232300.0,634600.0,30993.9,Higher education,Married,Working,-16951,-346,19.2,,0.7637681639306795,
100028,1,F,Y,N,0,81800.0,173400.0,6111.1,Higher education,Married,Working,-21906,-2164,14.5,,0.1981226358227634,0.7064339911915081
100029,0,F,N,Y,0,155700.0,320400.0,16393.6,Secondary / secondary special,Single / not married,Pensioner,-18392,365243,,0.6959058433488613,0.544637422001176,0.5279355094949048
100030,0,M,N,N,1,108700.0,505300.0,19120.9,Higher education,Married,Working,-9652,-874,,,0.6740034656007657,0.4932519082966841
100031,0,M,N,Y,0,359000.0,893800.0,41606.8,Academic degree,Married,Commercial associate,-15573,-2211,,,0.43720167838838164,0.8009335985062407
100032,0,M,N,Y,1,114600.0,349000.0,20121.5,Secondary / secondary special,Widow,Working,-12851,-672,,0.6742998380689035,0.3741583656509585,0.8542919009808209
100033,0,F,N,N,0,145200.0,364400.0,12634.4,Secondary / secondary special,Single / not married,Working,-17118,-6883,,0.829441586576422,0.6069121402623546,0.4163722062833171
100034,0,F,N,Y,2,101700.0,216800.0,7241.8,Secondary / secondary special,Married,Working,-15907,-1366,,,0.6163966153122818,0.5845398774478143
100035,0,F,N,N,0,98900.0,149700.0,9069.8,Higher education,Civil marriage,Working,-8061,-1487,,,0.46680190964510426,0.23420796435643026
100036,0,F,N,N,0,142300.0,556000.0,18673.2,Higher education,Single / not married,Commercial associate,-11308,-2046,,,0.6976587525610283,0.6324203679230246
100037,0,F,Y,Y,0,173400.0,926900.0,31227.6,Secondary / secondary special,Married,Working,-19242,-830,13.3,0.5551300170770688,0.46781701481808785,0.5665096892255287
100038,0,F,N,Y,0,237000.0,437800.0,26734.1,Higher education,Married,State servant,-17213,-2424,,,0.739745125703531,0.743543291499224
100039,0,F,N,Y,0,113500.0,268000.0,14020.6,Secondary / secondary special,Civil marriage,Working,-8604,-711,,,0.524229286930034,0.6101952798081999
100040,0,M,Y,N,0,112600.0,669500.0,61888.4,Secondary / secondary special,Married,Working,-18148,-790,4.5,0.7600207135115239,0.613162805082857,0.42527532528224743
100041,1,F,N,N,2,262600.0,1592800.0,154327.0,Secondary / secondary special,Married,Pensioner,-16493,365243,,,0.3862487015446215,0.6002242769342122
100042,0,M,N,Y,0,301700.0,1902400.0,144520.1,Secondary / secondary special,Civil marriage,Pensioner,-10303,365243,,0.7302167715859491,0.26445182777516074,0.6534997699440909
100043,0,M,N,N,0,141800.0,658000.0,42815.0,Secondary / secondary special,Civil marriage,Working,-7704,-499,,0.8140962785320752,0.1672035869459258,0.5055053571765654
100044,0,F,N,Y,0,181600.0,286600.0,10296.5,Secondary / secondary special,Married,Working,-13550,-674,,,0.8136056080550134,
100045,0,M,N,Y,0,312200.0,667800.0,40356.4,Higher education,Married,Working,-21339,-642,,,0.8360237748663868,0.8648096191279668
100046,0,M,Y,N,0,485000.0,1260700.0,51794.0,Secondary / secondary special,Married,Commercial associate,-10002,-2674,2.4,,0.8233685741178367,
100047,0,F,N,N,1,177800.0,580000.0,20045.3,Higher education,Civil marriage,Working,-24228,-1180,,,0.45509462333618583,0.5310841248410085
100048,0,F,N,Y,0,206700.0,672000.0,32738.9,Secondary / secondary special,Single / not married,Working,-17180,-4292,,0.39701684984002306,0.6468160427242856,0.4983235031132451
100049,0,M,N,Y,0,156300.0,373400.0,13939.3,Secondary / secondary special,Civil marriage,Commercial associate,-20966,-2606,,0.6082518899940931,0.45116515947318936,0.42490503662364676
100050,0,F,N,Y,1,75700.0,180500.0,9856.0,Secondary / secondary special,Married,Working,-24796,-1671,,0.5895417251671187,0.8446727613631211,
100051,0,F,Y,Y,0,172100.0,1079700.0,71483.5,Incomplete higher,Separated,Pensioner,-12275,365243,17.6,0.8069428491467512,0.6578764292169618,0.36384169140522576
100052,0,F,Y,Y,0,272900.0,532900.0,20940.9,Higher education,Married,Working,-17888,-2152,15.9,0.8485066528356546,0.6948235346622273,0.6935051326915013
100053,0,M,N,N,1,104900.0,167400.0,7319.9,Secondary / secondary special,Married,State servant,-13642,-641,,0.2853112384252566,0.5382226820007232,0.7094953976601729
100054,0,M,Y,Y,0,63900.0,103700.0,4465.2,Secondary / secondary special,Civil marriage,Commercial associate,-9152,-459,19.4,0.7757202928952494,0.8287193424941783,0.7413766443542
100055,0,M,N,Y,1,192100.0,824100.0,49642.5,Higher education,Married,State servant,-21581,-931,,,0.8077292298900828,0.5784661808139115
100056,0,M,N,N,0,66800.0,174300.0,8746.4,Secondary / secondary special,Single / not married,Pensioner,-7882,365243,,0.6626320964172576,0.8683624600926462,0.7322149268961043
100057,0,F,Y,Y,1,72600.0,283200.0,15911.9,Secondary / secondary special,Married,Working,-22902,-1579,5.2,,0.7150139491164235,0.3222104982647054
100058,0,F,Y,Y,0,70600.0,270100.0,9622.4,Higher education,Civil marriage,Working,-21600,-786,5.8,0.8633392852734749,0.6560758146892725,0.4717044689581364
100059,0,F,N,N,0,59800.0,359900.0,12570.8,Secondary / secondary special,Married,Working,-18862,-1853,,,0.3489808686750376,
100060,1,F,Y,Y,0,237000.0,547100.0,44613.7,Higher education,Married,Commercial associate,-18034,-408,11.0,0.29764572363587843,0.5133090617038468,0.12220888713156326
100061,0,M,N,Y,0,156700.0,479400.0,19836.2,Secondary / secondary special,Married,Working,-22496,-12,,0.5233732500468473,0.42945217899333965,0.6348233952202609
100062,0,F,N,Y,2,371600.0,1820100.0,119343.9,Higher education,Civil marriage,Commercial associate,-8646,-1038,,,0.30678683743409446,0.7953618872897655
100063,0,F,Y,Y,2,205000.0,849500.0,34958.2,Incomplete higher,Separated,Pensioner,-20580,365243,2.5,0.7581123155480507,0.7039644733512505,0.43143768595185084
100064,1,M,Y,Y,2,372400.0,1645700.0,108884.6,Secondary / secondary special,Married,Working,-10833,-1344,7.9,,0.44802883293790685,0.8904890503108563
100065,0,F,N,Y,0,110200.0,422100.0,22332.6,Secondary / secondary special,Single / not married,Commercial associate,-8027,-1452,,0.6203024563365129,0.8336736492236525,0.371176161429467
100066,0,F,Y,Y,1,173400.0,971500.0,53376.1,Secondary / secondary special,Married,Pensioner,-13145,365243,3.2,0.6818781070931504,0.6151273457170653,0.5461941301747388
100067,0,F,N,N,0,83000.0,174600.0,6630.3,Higher education,Married,Pensioner,-13406,365243,,0.6957086495823595,0.658387159725135,0.5551100626920232
100068,0,F,Y,Y,0,130000.0,814400.0,47786.7,Secondary / secondary special,Married,Working,-11047,-536,1.9,,0.5303936914784422,0.5663973983633183
100069,0,F,Y,Y,0,280800.0,676300.0,23925.4,Secondary / secondary special,Married,Working,-20132,-4420,4.0,0.7705596008507872,0.5365351990670754,
100070,0,F,N,Y,0,144600.0,352100.0,29150.8,Higher education,Married,Commercial associate,-17469,-422,,,0.7601667755345126,
100071,0,F,Y,N,0,132500.0,352000.0,23952.0,Secondary / secondary special,Married,Working,-23800,-1748,16.3,0.573964658967197,0.5431852962360625,0.7064754215355654
100072,0,F,Y,Y,0,145800.0,759000.0,51546.6,Secondary / secondary special,Married,Working,-21024,-10,10.9,,0.5933381367049395,0.7549582918554417
100073,0,M,N,N,1,157100.0,705700.0,46689.2,Secondary / secondary special,Civil marriage,State servant,-22153,-52,,0.74630159284214,0.7921809079382929,
100074,0,F,N,Y,0,157200.0,316800.0,14424.1,Incomplete higher,Married,Working,-23492,-637,,,0.6086066487121944,0.5957430021011896
100075,0,F,Y,N,0,268300.0,1574000.0,88473.0,Secondary / secondary special,Civil marriage,Working,-21807,-229,17.1,,0.5471990151569474,0.520376868989837
100076,0,F,Y,Y,0,106500.0,686400.0,35834.9,Higher education,Civil marriage,Working,-9741,-1692,8.8,,0.6227609512820191,0.44202325400914133
100077,0,F,N,Y,0,134200.0,535200.0,17974.7,Secondary / secondary special,Married,Pensioner,-10922,365243,,,0.4656372128814744,0.7140893564616309
100078,0,M,N,Y,0,153900.0,248200.0,9365.1,Higher education,Single / not married,Working,-14714,-836,,0.5213262470932777,0.7865481233202406,0.5385064887486175
100079,0,F,N,Y,0,98100.0,398300.0,21355.0,Secondary / secondary special,Married,Working,-13492,-652,,,0.5592871068402105,0.6849291576857051
100080,0,M,N,N,1,120400.0,529300.0,21200.7,Secondary / secondary special,Married,Commercial associate,-23193,-636,,0.7528485832218382,0.6585252228452885,0.5258476405897254
100081,0,M,N,Y,0,207900.0,515700.0,40978.6,Higher education,Single / not married,Working,-16860,-350,,,0.6648129424585546,0.630178418304716
100082,0,F,N,Y,1,101600.0,169800.0,10324.3,Higher education,Married,Working,-23027,-1631,,0.4715193784281816,0.4320888196911851,0.9449171761980864
100083,0,M,Y,Y,0,513100.0,2019600.0,70473.6,Secondary / secondary special,Married,Commercial associate,-14457,-4276,3.1,0.7139027101577611,0.47461260987807374,0.5221468352972256
100084,0,F,N,N,0,307600.0,1803600.0,60975.1,Secondary / secondary special,Separated,Commercial associate,-23563,-538,,,0.7496726752148912,0.47722988026949364
100085,0,F,N,Y,0,159500.0,437100.0,16064.2,Secondary / secondary special,Single / not married,Working,-8927,-281,,0.47643561094852127,0.7265488138622507,
100086,0,F,N,N,0,190800.0,638400.0,27889.6,Secondary / secondary special,Married,Working,-15481,-3565,,,0.42181153225499746,
100087,0,M,N,N,1,208300.0,1254300.0,47812.7,Secondary / secondary special,Married,Commercial associate,-23468,-1606,,0.9266612950713434,0.9153813305001489,
100088,0,F,Y,Y,1,189500.0,862100.0,67122.5,Incomplete higher,Civil marriage,Working,-15553,-2010,11.3,0.6920084037609441,0.8584560321879934,0.8150452436972334
100089,1,F,N,N,1,153700.0,668100.0,37002.6,Secondary / secondary special,Widow,Unemployed,-20515,365243,,,0.2695000517052759,0.5652933138355121
100090,0,F,N,Y,0,508100.0,1596200.0,72749.1,Secondary / secondary special,Married,Working,-13997,-926,,0.7260453989322416,0.44198292440972886,0.29038276964762066
100091,0,F,N,Y,1,106600.0,672900.0,30730.4,Secondary / secondary special,Single / not married,Working,-22207,-513,,,0.5905865529382439,
100092,0,M,N,Y,0,123700.0,617500.0,39973.0,Secondary / secondary special,Married,Commercial associate,-18740,-3851,,,0.6135396576012004,0.47533630347852884
100093,0,F,N,Y,1,152200.0,306100.0,13527.9,Secondary / secondary special,Married,Commercial associate,-21903,-1128,,0.4578126368541376,0.8203953136059688,0.7597696402779067
100094,0,F,Y,Y,0,196900.0,341500.0,21775.7,Higher education,Separated,Working,-17075,-288,11.2,,0.5017105042520058,0.6436495597913819
100095,0,F,N,Y,0,364100.0,1668700.0,66601.7,Secondary / secondary special,Single / not married,Working,-18848,-922,,0.6177926167680189,0.6622260295868274,0.8495512180077671
100096,0,F,N,N,0,147200.0,418900.0,21398.9,Secondary / secondary special,Married,State servant,-16938,-429,,0.6389772835346911,0.8003734655371986,0.36230037363312667
100097,0,F,N,Y,0,191100.0,390000.0,18738.8,Higher education,Single / not married,Working,-17616,-3985,,,0.47906738060506615,0.7255815095096543
100098,0,F,N,Y,0,175200.0,903600.0,31284.6,Secondary / secondary special,Married,Working,-19752,-2207,,,0.33608830965042924,0.8388136802279637
100099,1,F,N,Y,0,141900.0,827000.0,28008.2,Secondary / secondary special,Married,Working,-9788,-111,,0.8279520519022634,0.3641419714666418,0.5306089408161704
100100,0,M,N,Y,0,257500.0,964700.0,36939.9,Secondary / secondary special,Single / not married,Working,-21144,-880,,,0.6837667755662264,0.7364059927830084
100101,0,M,N,N,0,178600.0,538100.0,28784.5,Secondary / secondary special,Married,Working,-13897,-1398,,,0.76714125041791,0.8838271812893088
100102,0,M,Y,Y,0,229800.0,501000.0,26344.8,Secondary / secondary special,Married,Pensioner,-7890,365243,4.2,,,0.727544377226057
100103,0,F,N,Y,2,129100.0,631100.0,31047.9,Secondary / secondary special,Married,State servant,-18955,-463,,,0.7695707394837078,0.802516567844182
100104,0,M,N,Y,0,115500.0,181300.0,7144.7,Secondary / secondary special,Married,State servant,-18428,-4029,,,0.3419827103918192,
100105,0,M,N,N,0,126200.0,619500.0,25171.9,Secondary / secondary special,Separated,Working,-20395,-24,,,0.6941730209530128,0.6836598088078135
100106,0,M,N,Y,0,168500.0,1058300.0,67998.2,Secondary / secondary special,Married,Working,-25172,-937,,,0.6071586694476078,
100107,0,F,Y,N,0,243500.0,839700.0,43990.3,Secondary / secondary special,Married,Working,-15760,-1065,9.6,0.5186885312611964,0.6950051769482071,0.548091588179109
100108,0,F,N,Y,0,378300.0,1943300.0,82543.7,Secondary / secondary special,Single / not married,Working,-24734,-213,,0.7067166473846657,0.9126832550402358,0.857122352870618
100109,0,F,N,Y,0,159300.0,283900.0,24687.7,Secondary / secondary special,Civil marriage,Commercial associate,-17799,-1748,,0.522635620151532,0.6504046882849824,
100110,0,M,N,Y,0,340600.0,1091900.0,89930.2,Secondary / secondary special,Single / not married,Working,-13944,-707,,,0.8219696519268264,
100111,0,F,Y,Y,1,195200.0,738700.0,27891.8,Secondary / secondary special,Widow,Working,-19553,-442,4.6,,0.4793922057371835,0.41581236406418864
100112,0,F,N,Y,2,109000.0,515000.0,18014.4,Secondary / secondary special,Single / not married,Pensioner,-11114,365243,,0.5709645492210459,,0.6942707777122236
100113,0,F,Y,Y,1,155400.0,466100.0,34327.3,Lower secondary,Single / not married,Pensioner,-24611,365243,9.3,0.6903434624258536,0.6597438331351998,0.6198811737122426
100114,0,F,N,Y,0,208200.0,986500.0,34815.8,Secondary / secondary special,Married,Pensioner,-15402,365243,,0.7960523418182278,0.6525042949283486,0.4084956523806441
100115,0,F,N,Y,0,215600.0,1103300.0,40697.1,Secondary / secondary special,Married,Working,-7856,-1282,,0.860544234796327,0.6671268736425024,0.7489971768535674
100116,0,M,Y,Y,1,118700.0,270100.0,20880.5,Secondary / secondary special,Married,Pensioner,-19159,365243,12.2,,0.6421061512839078,0.4977689744673523
100117,0,M,N,Y,0,125500.0,717200.0,55479.6,Secondary / secondary special,Single / not married,Working,-9779,-769,,0.7511110698056219,0.8026538491624258,
100118,0,M,N,Y,0,126600.0,623700.0,31472.6,Higher education,Single / not married,Working,-9229,-424,,,0.6103640425146024,0.28542209268540086
100119,1,F,N,Y,0,134700.0,868900.0,33756.0,Higher education,Single / not married,Working,-8083,-1015,,,0.5960291272453029,0.3082873642257266
100120,0,F,Y,Y,0,169000.0,910000.0,45899.5,Incomplete higher,Married,Commercial associate,-23150,-1694,2.5,,0.7829657503492644,0.7567636049655192
100121,0,F,N,N,1,344400.0,1827600.0,69125.5,Secondary / secondary special,Single / not married,Working,-8260,-1686,,,0.6619778407061304,0.5814129183950729
100122,0,F,Y,Y,0,121800.0,194100.0,15337.5,Secondary / secondary special,Married,Pensioner,-17088,365243,0.9,,0.6574996635471618,
100123,0,F,N,Y,0,70400.0,254300.0,17013.8,Higher education,Married,Working,-16251,-1056,,0.7198591684782191,0.45270947874008366,0.5833457505698748
100124,0,F,N,Y,0,68400.0,208000.0,8465.2,Secondary / secondary special,Married,Pensioner,-23642,365243,,,0.5703417001785365,0.5097335669311136
100125,0,F,Y,N,1,212700.0,1141800.0,56576.0,Secondary / secondary special,Married,Working,-23644,-660,10.6,,0.7838664913119713,
100126,0,F,N,Y,0,115200.0,551900.0,30333.1,Secondary / secondary special,Separated,Commercial associate,-23815,-2819,,0.7016408293674289,0.3021169201389634,0.4023151618126047
100127,0,F,N,Y,0,166300.0,674200.0,25237.1,Secondary / secondary special,Married,Pensioner,-14683,365243,,,0.6220598918652138,0.49040884698766324
100128,0,F,N,Y,2,107100.0,355000.0,27738.3,Higher education,Married,Commercial associate,-15971,-293,,,0.883373266268938,0.5162769456900312
100129,0,F,Y,Y,0,137800.0,275700.0,15178.8,Higher education,Single / not married,Pensioner,-22145,365243,3.7,0.856019346943073,0.3803438946319689,0.6779328721237967
100130,0,F,Y,N,0,127200.0,389900.0,13891.9,Secondary / secondary special,Married,Commercial associate,-9776,-61,17.3,,0.6833500607896127,0.49640101564797406
100131,0,F,N,Y,2,108100.0,488200.0,17308.5,Secondary / secondary special,Married,Working,-9676,-3101,,,0.9279246903533577,
100132,0,M,Y,Y,1,256900.0,763200.0,44010.7,Higher education,Married,Commercial associate,-23829,-1547,14.8,,0.6600196933706378,0.8453590019598693
100133,0,F,N,Y,0,265500.0,552100.0,29790.5,Secondary / secondary special,Married,Commercial associate,-8186,365243,,,0.7231830169555347,
100134,0,F,Y,N,0,196400.0,309900.0,26891.6,Higher education,Single / not married,Working,-14382,-386,8.0,,0.6166091316665299,
100135,0,F,Y,N,0,369400.0,2231400.0,156249.1,Secondary / secondary special,Married,Working,-11088,-1024,8.5,0.5830157900541098,0.796958155672471,0.3549790311101671
100136,0,F,N,N,0,81500.0,213200.0,20592.3,Incomplete higher,Married,Working,-9142,-2568,,,0.7676539302220515,0.41262767606319245
100137,0,M,Y,N,0,133900.0,825200.0,39925.6,Secondary / secondary special,Married,Working,-24744,-2012,16.5,,0.4778622114821872,0.6062049523270048
100138,0,F,N,N,2,125900.0,203000.0,6820.0,Secondary / secondary special,Married,State servant,-10579,-1554,,,0.8184550746085288,
100139,0,M,Y,Y,0,202600.0,736100.0,56934.4,Higher education,Married,State servant,-15243,-1675,4.9,,0.36241269732083536,0.6344954469847304
100140,0,F,N,Y,1,83500.0,331700.0,11437.5,Higher education,Married,Commercial associate,-12161,-1168,,0.7653927664212533,0.6942598118832269,0.6725698895813734
100141,0,F,N,Y,1,198900.0,690700.0,38070.6,Higher education,Single / not married,Working,-16281,-1300,,0.8205307517569571,0.3446446355911504,0.6274893172547905
100142,0,F,N,Y,0,76900.0,153000.0,13901.2,Secondary / secondary special,Married,Working,-21115,-2253,,0.5516406805160539,0.5605257654711036,
100143,0,M,N,N,1,206200.0,1212500.0,91809.9,Secondary / secondary special,Separated,Working,-19236,-1405,,,0.7669739741185928,
100144,0,F,N,Y,0,247600.0,1508800.0,79149.1,Secondary / secondary special,Civil marriage,Working,-17694,-2240,,,0.713335994877119,0.49436488003813667
100145,0,F,N,Y,0,88500.0,466500.0,33094.7,Secondary / secondary special,Married,Pensioner,-16623,365243,,,0.6179936118266193,0.5120073109567329
100146,0,F,Y,Y,2,124800.0,254600.0,10893.1,Secondary / secondary special,Married,Working,-9981,-1250,5.7,,0.5957312751552822,
100147,0,F,N,Y,0,251600.0,694200.0,47124.9,Secondary / secondary special,Single / not married,Working,-14726,-878,,0.3505105708308926,0.4922953717903955,
100148,0,F,Y,Y,0,275500.0,818500.0,32100.9,Higher education,Married,Working,-23541,-2693,13.7,,0.7754352706971547,0.71480382331406
100149,0,F,N,Y,0,77500.0,482100.0,33976.0,Higher education,Civil marriage,Pensioner,-22055,365243,,0.6591464650998579,0.7205546586871174,
100150,0,F,Y,N,0,174500.0,959500.0,44122.1,Secondary / secondary special,Married,Working,-8805,-1616,16.1,,0.7481535596019023,0.7022571750328666
100151,0,M,N,Y,0,197600.0,727200.0,35558.2,Secondary / secondary special,Married,Working,-22404,-983,,,,0.875978095317022
100152,0,M,N,Y,0,146700.0,589900.0,22627.6,Secondary / secondary special,Civil marriage,Working,-22187,-608,,0.8570313277293454,0.5200743080250506,0.6524852805371297
100153,0,F,N,Y,0,281000.0,1542300.0,69593.6,Secondary / secondary special,Civil marriage,Working,-21730,-203,,0.584577552892772,0.33153384020948456,0.706190154185663
100154,1,F,N,N,0,115100.0,208500.0,10269.7,Secondary / secondary special,Married,Commercial associate,-21955,-1632,,,0.3442396804111185,
100155,0,F,Y,Y,0,122200.0,423100.0,15052.0,Higher education,Single / not married,Commercial associate,-24904,-1694,6.4,0.617071314285001,0.36767780653504456,0.47137152330677107
100156,0,M,Y,Y,0,109500.0,192500.0,6968.0,Secondary / secondary special,Married,Commercial associate,-8638,-588,4.0,0.6509525122294243,0.5111298943331841,0.6547122959225977
100157,1,F,N,N,0,164500.0,997500.0,36080.6,Secondary / secondary special,Married,Working,-14399,-920,,0.6250657380351592,0.6589594240026266,0.7625337533800953
100158,0,M,N,N,0,130500.0,483900.0,32835.4,Higher education,Civil marriage,State servant,-24648,365243,,0.5510880186436491,0.7688068363839065,0.8427154043101229
100159,0,M,Y,Y,0,218100.0,522900.0,21457.3,Secondary / secondary special,Married,Commercial associate,-17359,-1358,15.3,0.40945035000160074,0.6411400527179394,0.8053336255467743
100160,0,M,N,Y,0,125900.0,805300.0,35315.2,Secondary / secondary special,Married,Pensioner,-19632,365243,,0.7217904537069791,0.7914140806900045,0.2232809797582241
100161,0,F,N,Y,0,136700.0,805000.0,29836.2,Secondary / secondary special,Married,Working,-14014,-1150,,,0.6790138543065465,0.5590889070844636
100162,0,M,Y,N,0,165000.0,666800.0,29455.3,Secondary / secondary special,Separated,State servant,-11385,-372,12.5,0.46733935921977277,0.4159189751170703,
100163,0,F,N,Y,0,103800.0,635500.0,45919.6,Secondary / secondary special,Married,Commercial associate,-24824,-4437,,,0.8570722215822953,0.7393131536762375
100164,0,F,Y,N,0,238300.0,575000.0,36521.7,Higher education,Single / not married,Working,-14010,-1822,11.0,,,0.6421297420145581
100165,0,F,Y,N,0,205400.0,1093400.0,55515.4,Secondary / secondary special,Single / not married,Working,-17503,-2649,15.1,,0.8425624388625582,
100166,0,F,N,Y,0,202400.0,1086100.0,51544.7,Higher education,Civil marriage,Working,-11944,-260,,0.6174319247471473,0.6996314808795466,0.7472272380885704
100167,0,M,Y,Y,0,95300.0,425200.0,22935.8,Higher education,Married,Pensioner,-24622,365243,13.0,0.6737675499210228,0.6480494484693146,0.5435582907367935
100168,0,M,N,N,0,302400.0,1053300.0,38673.2,Higher education,Married,Working,-12200,-1008,,,0.8599989875955444,0.7638185845808737
100169,0,F,N,N,0,65600.0,190600.0,7047.6,Incomplete higher,Widow,Commercial associate,-23693,-1344,,0.7912947587753807,0.8309735693674298,0.7938683913071982
100170,0,M,N,N,1,210500.0,993100.0,39750.7,Higher education,Married,Commercial associate,-12786,-142,,,0.42223991055293797,0.49907868629993246
100171,0,F,N,Y,1,160700.0,500400.0,26465.6,Higher education,Married,Pensioner,-24271,365243,,0.26783492489123073,,0.7523791196986233
100172,0,F,N,N,2,203800.0,438300.0,17361.0,Secondary / secondary special,Married,Working,-14110,-3755,,0.5050032539894526,0.5114636488010647,0.8213441285511388
100173,0,F,N,N,0,137000.0,789600.0,29054.8,Secondary / secondary special,Civil marriage,Pensioner,-22959,365243,,,0.4922007915771528,0.8650383481442683
100174,0,M,N,N,0,156800.0,861900.0,38965.8,Higher education,Separated,Working,-18186,-383,,,0.8017996728671369,0.6853114367179098
100175,0,F,N,Y,0,206900.0,618300.0,27957.2,Higher education,Married,Pensioner,-9665,365243,,,,0.5446812074170586
100176,0,F,N,Y,0,150900.0,232300.0,15809.2,Higher education,Married,Working,-12853,-81,,,0.7116058504464967,0.8631364675393149
100177,0,F,Y,Y,1,166400.0,447700.0,26178.6,Secondary / secondary special,Single / not married,Working,-21010,-4291,18.7,0.6694702091992224,0.7348234455791441,0.5124642820428409
